,age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,gender,capital_gain,capital_loss,hours_per_week,native_country,income_bracket
50,18,Private,89542,HS-grad,9,Never-married,Adm-clerical,Own-child,Other,Male,0,0,36,United-States,<=50K
51,45,Private,171497,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,<=50K
52,55,Local-gov,140764,Bachelors,13,Married-civ-spouse,Sales,Husband,Black,Male,0,1902,60,United-States,>50K
53,51,Private,299301,5th-6th,3,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2444,50,United-States,>50K
54,42,Federal-gov,296450,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1977,48,United-States,>50K
55,33,Private,68890,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50K
56,59,Private,93869,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
57,27,Private,358701,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,Mexico,<=50K
58,48,Private,30267,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,<=50K
59,29,Private,172538,Bachelors,13,Never-married,Exec-managerial,Unmarried,White,Female,0,0,50,United-States,<=50K
60,20,Private,38948,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,12,United-States,<=50K
61,25,Private,253062,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
62,56,Private,173601,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,45,United-States,<=50K
63,35,Private,177764,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,10,United-States,<=50K
64,51,Private,250603,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K
65,33,Private,146325,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,<=50K
66,42,Private,146929,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,<=50K
67,50,Private,35961,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,65,United-States,>50K
68,27,Private,119789,9th,5,Never-married,Priv-house-serv,Not-in-family,White,Female,0,1408,25,United-States,<=50K
69,33,Private,139770,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,>50K
70,19,Private,113364,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,20,United-States,<=50K
71,36,Private,58916,Some-college,10,Widowed,Craft-repair,Unmarried,White,Male,4650,0,8,United-States,<=50K
72,36,Private,348152,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,10520,0,35,United-States,>50K
73,40,Private,180779,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1977,45,United-States,>50K
74,36,?,108843,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,25,United-States,<=50K
75,54,Private,317702,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,45,United-States,<=50K
76,40,Private,170846,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,>50K
77,24,Private,255034,7th-8th,4,Never-married,Craft-repair,Other-relative,Black,Male,0,0,34,United-States,<=50K
78,17,?,290286,Some-college,10,Never-married,Tech-support,Own-child,White,Male,0,0,15,United-States,<=50K
79,58,Private,231347,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,>50K
80,58,Private,187693,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
81,35,Private,197816,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,33,United-States,<=50K
82,39,?,264148,HS-grad,9,Widowed,Other-service,Not-in-family,White,Female,0,0,20,United-States,<=50K
83,29,Private,40937,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,37,United-States,<=50K
84,21,Private,109946,7th-8th,4,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
85,50,Private,218407,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,Cuba,<=50K
86,19,Private,178907,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,15,United-States,<=50K
87,25,Private,260696,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,<=50K
88,46,Private,173851,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
89,42,State-gov,193898,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,>50K
90,30,Private,294691,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
91,61,Private,211154,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,7298,0,35,United-States,>50K
92,40,State-gov,221172,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
93,26,Private,51620,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,50,United-States,<=50K
94,21,Private,127961,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
95,23,Private,43763,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,35,United-States,<=50K
96,26,Private,88991,5th-6th,3,Never-married,Farming-fishing,Own-child,White,Male,0,0,30,United-States,<=50K
97,61,Private,350409,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,52,United-States,<=50K
98,40,Private,308764,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
99,40,Private,34935,Masters,14,Widowed,Prof-specialty,Not-in-family,White,Male,0,0,54,United-States,<=50K
100,52,Private,59231,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,56,United-States,<=50K
101,25,Private,174474,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,Peru,<=50K
102,17,Private,39037,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
103,30,Private,200387,Masters,14,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
104,23,Private,195148,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
105,17,Private,104361,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,20,United-States,<=50K
106,49,Private,293512,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,65,United-States,>50K
107,39,Private,309630,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,0,0,35,United-States,>50K
108,29,Local-gov,234220,7th-8th,4,Never-married,Machine-op-inspct,Unmarried,White,Female,0,0,40,Cuba,<=50K
109,51,Local-gov,226971,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
110,27,Private,497280,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
111,18,Private,305846,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,60,United-States,<=50K
112,27,Private,220269,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,45,United-States,<=50K
113,63,Private,184924,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
114,35,Private,246308,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,Mexico,<=50K
115,22,Private,134756,Bachelors,13,Never-married,Farming-fishing,Own-child,White,Male,0,0,40,United-States,<=50K
116,61,State-gov,185143,Bachelors,13,Divorced,Transport-moving,Not-in-family,White,Male,0,0,60,United-States,<=50K
117,24,Private,224361,Bachelors,13,Separated,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
118,80,Self-emp-not-inc,165694,Assoc-acdm,12,Widowed,Sales,Unmarried,White,Female,4787,0,15,United-States,>50K
119,28,Private,175540,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,45,United-States,<=50K
120,51,Federal-gov,176992,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,>50K
121,20,Private,159507,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,45,United-States,<=50K
122,21,Local-gov,226613,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,30,United-States,<=50K
123,28,Private,389220,10th,6,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
124,25,Private,162160,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
125,28,Local-gov,159755,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,<=50K
126,31,Private,153633,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
127,26,Private,296516,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Female,0,0,40,United-States,<=50K
128,26,State-gov,216934,Bachelors,13,Separated,Exec-managerial,Not-in-family,White,Female,0,0,50,Portugal,<=50K
129,29,State-gov,199336,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
130,45,Local-gov,258761,1st-4th,2,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
131,26,State-gov,67187,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
132,34,Private,187714,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
133,37,Private,326089,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
134,23,Private,39172,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States,<=50K
135,46,Local-gov,200802,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,47,United-States,>50K
136,27,Private,21042,Some-college,10,Divorced,Transport-moving,Not-in-family,White,Female,0,0,45,United-States,<=50K
137,21,Private,416745,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,<=50K
138,42,Self-emp-not-inc,276221,Assoc-voc,11,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,<=50K
139,57,Self-emp-not-inc,50748,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
140,63,Local-gov,103064,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
141,32,Private,33487,Some-college,10,Never-married,Exec-managerial,Own-child,White,Female,0,0,40,United-States,<=50K
142,33,Private,123761,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
143,39,Private,35949,Bachelors,13,Divorced,Other-service,Own-child,Asian-Pac-Islander,Female,0,0,20,United-States,<=50K
144,30,Private,170800,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,55,United-States,<=50K
145,71,?,183501,Some-college,10,Widowed,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,<=50K
146,42,Private,170743,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
147,17,Private,27242,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,<=50K
148,60,Self-emp-inc,188069,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,99999,0,45,United-States,>50K
149,18,Private,339813,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,20,United-States,<=50K
150,35,Self-emp-not-inc,188278,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,>50K
151,24,Private,193855,Some-college,10,Never-married,Machine-op-inspct,Own-child,Black,Female,0,0,40,United-States,<=50K
152,37,Private,81030,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,10520,0,40,United-States,>50K
153,49,Self-emp-inc,230875,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,>50K
154,54,Self-emp-inc,110946,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
155,24,Private,32353,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Female,0,0,30,United-States,<=50K
156,28,Private,102824,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,55,United-States,<=50K
157,33,Private,118023,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,12,United-States,<=50K
158,17,Private,157443,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,Asian-Pac-Islander,Female,0,0,40,?,<=50K
159,43,Self-emp-inc,120933,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States,<=50K
160,20,Federal-gov,93930,Assoc-voc,11,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,48,United-States,<=50K
161,24,State-gov,334059,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,40,United-States,<=50K
162,30,Private,199847,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,>50K
163,30,Private,243898,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Black,Female,0,0,40,United-States,<=50K
164,29,State-gov,176321,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,30,United-States,<=50K
165,40,Self-emp-not-inc,209022,Prof-school,15,Divorced,Prof-specialty,Unmarried,White,Male,0,0,20,United-States,<=50K
166,50,Local-gov,79331,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,1902,60,United-States,>50K
167,32,Private,166889,Some-college,10,Never-married,Exec-managerial,Not-in-family,Black,Female,0,0,40,United-States,<=50K
168,52,Self-emp-inc,61885,Some-college,10,Married-spouse-absent,Sales,Unmarried,White,Female,0,0,40,United-States,<=50K
169,29,Local-gov,128378,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,43,United-States,<=50K
170,33,Self-emp-not-inc,192017,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,65,United-States,>50K
171,33,Self-emp-not-inc,28515,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,Black,Female,0,0,45,United-States,>50K
172,41,Private,55210,HS-grad,9,Married-spouse-absent,Transport-moving,Not-in-family,White,Male,0,0,25,United-States,<=50K
173,25,Private,176185,Bachelors,13,Separated,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,0,0,50,United-States,<=50K
174,53,Self-emp-not-inc,272476,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,46,United-States,>50K
175,64,Self-emp-not-inc,152461,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,<=50K
176,34,Self-emp-not-inc,450408,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
177,40,?,226902,10th,6,Divorced,?,Unmarried,Black,Female,0,0,8,United-States,<=50K
178,42,Private,490283,11th,7,Divorced,Sales,Unmarried,White,Female,0,0,8,United-States,<=50K
179,40,Private,33304,HS-grad,9,Divorced,Sales,Unmarried,White,Female,0,0,40,United-States,<=50K
180,57,Private,155594,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,7298,0,40,United-States,>50K
181,48,Private,199947,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,>50K
182,29,Private,149102,Bachelors,13,Never-married,Craft-repair,Unmarried,White,Male,0,0,40,Poland,>50K
183,43,?,177147,11th,7,Married-civ-spouse,Sales,Own-child,White,Female,0,0,20,United-States,<=50K
184,31,State-gov,51579,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,70,United-States,>50K
185,21,?,24008,Bachelors,13,Never-married,?,Not-in-family,White,Female,0,0,45,United-States,<=50K
186,18,?,88368,HS-grad,9,Never-married,?,Own-child,White,Female,0,0,40,United-States,<=50K
187,51,Private,196420,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
188,40,State-gov,226701,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,0,0,9,United-States,<=50K
189,51,Private,176711,Bachelors,13,Divorced,Sales,Not-in-family,White,Female,0,0,35,United-States,<=50K
190,29,Private,42037,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,50,United-States,<=50K
191,51,Private,192835,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K
192,38,Private,260938,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,>50K
193,17,Private,203488,Assoc-acdm,12,Never-married,Other-service,Own-child,White,Male,0,0,24,United-States,<=50K
194,47,Private,48434,HS-grad,9,Widowed,Prof-specialty,Unmarried,White,Female,0,0,55,United-States,<=50K
195,31,Private,401022,HS-grad,9,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K
196,49,Private,50748,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
197,34,Private,219276,HS-grad,9,Separated,Sales,Unmarried,Asian-Pac-Islander,Male,0,0,40,Philippines,<=50K
198,37,Private,300280,1st-4th,2,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K
199,36,Private,135285,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1977,45,United-States,>50K
200,17,Private,155643,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,0,0,25,United-States,<=50K
201,28,Private,159938,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
202,21,Private,103643,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,25,United-States,<=50K
203,36,State-gov,40200,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
204,53,Private,114638,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,7298,0,50,United-States,>50K
205,38,Private,189518,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,4650,0,50,United-States,<=50K
206,42,Private,175370,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,<=50K
207,23,Private,181313,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,20,United-States,<=50K
208,28,Private,337064,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
209,45,Private,194260,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
210,26,Self-emp-inc,48925,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
211,24,Private,144172,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
212,25,Private,219619,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
213,21,Local-gov,256508,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,30,United-States,<=50K
214,30,Private,202373,Some-college,10,Divorced,Adm-clerical,Not-in-family,Black,Female,0,0,25,United-States,<=50K
215,22,Private,140414,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,48,United-States,<=50K
216,51,?,22068,HS-grad,9,Never-married,Protective-serv,Not-in-family,White,Female,0,0,40,United-States,<=50K
217,38,Local-gov,35961,5th-6th,3,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,>50K
218,36,Private,805620,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,<=50K
219,26,Private,149184,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,35,United-States,<=50K
220,27,Private,152587,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
221,30,Federal-gov,309311,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
222,29,Local-gov,184682,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
223,37,Federal-gov,195488,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,65,United-States,<=50K
224,47,Local-gov,129573,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States,>50K
225,49,Federal-gov,119098,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,>50K
226,40,Private,80511,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,45,United-States,<=50K
227,53,Local-gov,596017,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,<=50K
228,43,Private,26582,HS-grad,9,Never-married,Farming-fishing,Not-in-family,Black,Male,0,0,55,United-States,<=50K
229,64,Self-emp-not-inc,176751,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,32,United-States,<=50K
230,37,Self-emp-not-inc,501172,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,Mexico,>50K
231,44,Self-emp-not-inc,71075,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,<=50K
232,35,Self-emp-not-inc,149736,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K
233,53,Self-emp-not-inc,200928,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,35,United-States,<=50K
234,40,Self-emp-not-inc,283715,Bachelors,13,Never-married,Transport-moving,Not-in-family,White,Male,0,0,60,United-States,<=50K
235,28,Self-emp-not-inc,255702,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
236,32,Self-emp-not-inc,253770,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,<=50K
